name,link
4Change,
ARC Consulting Ltd.,
Bulgarian Industrial Association,http://ierc.bia-bg.com
CPVS Group,
Fonderie Peri,
Hackity,
ICT hub,https://www.icthub.rs/
Innovation Centre Kosovo,www.ickosovo.com 
Mifras - Educational Entrepreneurship Incubator,
MTÜ GAMESTHATMATTER,
Oficina,https://oficina.al/
Risklick AG,
S.C. LiveHosting Datacenter S.R.L.,
Serbia Startup,
Skyrora UA,
Spanish Startups,
StartIsrael,https://www.startisrael.co.il/
Startup Croatia,
Stay Up,
TechHub Bucharest,
Vega IT,https://www.vegaitsourcing.rs/
Xoolab Sviluppo,
Yonder,
