name,link
Aalborg University,
Agência para a Competitividade e Inovação,http://www.een-portugal.pt/
Agricultural University of Plovdiv,
Aix-Marseille Université,
Ariel University,
Aristotle University of Thessaloniki AUTH,https://www.auth.gr/en
Arqus European University Alliance,
Associação Portuguesa de Segurança,
Babeș-Bolyai University,
Basque Center for Applied Mathematics ,
Bayern Innovativ,
BCAM - Basque center for Applied Mathematics,
Bezmialem Vakif University,
Bulgarian Industrial Association,
Bulgarian Industrial Association/ Enterprise Europe Network,
Campus Iberus,www.campusiberus.es 
Central European University,https://www.ceu.edu/
CEOE-CEPYME CANTABRIA,
CESAER,
Chair of Disasters,
CREA - Community of Researchers on Excellence for All,
Dnipro State Agrarian and Economic University,
DOBA Business School,
Duke University,https://duke.edu
ESAI-Escola Superior de Actividades Imobiliárias,
Escuela de Negocios de la Innovación y los Emprendedores,
Escuela Superior de Arte y Diseño de Andalucía,https://www.esada.es/
EU-LIFE,
European Consortium of Innovative Universities,
"European University Alliance for Global Health, EUGLOH",
European University of Rome,www.unier.it
EuroTech Universities Alliance,
Fachhochschule Technikum Wien,
Faculty of Polymer Technology,
Free University of Bozen-Bolzano,
Ghent University,
Höfði Reykjavík Peace Centre at the University of Iceland,
IAAD,
IDIVAL (Marqués de Valdecilla Health Institute),
Iebschool,
IMEM CNR,
Imperial College London,
Institute of Entrepreneurship Development,
Instituto Politécnico da Guarda,
Instituto Politécnico de Castelo Branco,
Instituto Politécnico de Viana do Castelo,
Instituto Universitário de Lisboa,
ISM University of Management and Economics,
Istanbul Bilgi University,
Istanbul Okan University,
Istanbul Technical University,http://www.global.itu.edu.tr/
Istituto d'Arte Applicata e Design ,www.iaad.it
Karelia University of Applied Sciencies,
Kaunas University of Technology,https://en.ktu.edu/
Klaipeda University,
kowi.de,
L'Istituto dei Materiali per l'Elettronica e il Magnetismo,
La Salle - Ramon Llull University,www.salleURL.edu
LEITAT Technological Center,
Limerick Institute Of Technology,
Link Campus University,
Linköping University,
London School of Hygiene and Tropical Medicine,
M2C Institute at City University of Applied Sciences Bremen,
Marqués de Valdecilla Health Institute,
Medical University of Bialystok,
Metinvest Holding Corporate Polytechnic University ,
Moholy-Nagy University of Art and Design,
Mondragon University,
Mons University,
Name,URL
National and Kapodistrian University of Athens,
Netaji Subhas Institute of Technology,
New Higher Education Institute,
New York University,
Nsut,
Oles Honchar Dnipro National University,
Özyegin University,
Panhellenic Association of Graduates of GeoInformatics and Surveying Engineering,
Parintii cer schimbare,
Petre Shotadze Tbilisi Medical Academy,
Port d'Informació Científica (research center at Universitat Autònoma de Barcelona),
Poznan Supercomputing and Networking Center,
Professional College of Tirana,
Queen's University Belfast,
Riinvest College,
Salesian University Institute Torino Rebaudengo (IUSTO),
Sanitary Environmental Engineering Division (SEED) at University of Salerno,
Savonia University of Applied Sciences,
"School of Journalism and Mass Media Communication, Aristotle University of Thessaloniki",
School of Values,
Scuola Normale Superiore,
"Spiru Haret University, USH ProBusiness entrepreneurial center",
St. Pölten University of Applied Sciences,
Technical University of Denmark,
Technical University of Munich,https://www.ent.wi.tum.de/en/home/
Technological University Dublin,
Tel Aviv University,
The Academic College of Tel Aviv Yaffo,
The Open University of Israel,
TIB Leibniz Information Centre for Science and Technology,https://www.tib.eu/en/
TOUR4EU - Association of Tuscan Universities in Europe for Research,https://tour4eu.eu/
UAS4EUROPE,
Universidad Autónoma de Madrid,
Universidad de Almeria,
Universidad de Navarra,
Universidad Internacional de Valencia - VIU,
Universidad Pontificia de Comillas,
Universidade Europeia,
Universidade Fernando Pessoa,
Università Cattolica,
Universita Cattolica del Sacro Cuore,
"Università degli Studi Aldo Moro, Bari",
Università degli Studi dell'Aquila,www.univaq.it
Università degli Studi di Catania,
Università degli studi mediterranea di Reggio Calabria,
Università degli Studi Suor Orsola Benincasa,
Università della Basilicata,
Università di Pavia,
Universitaet Bern,
Universitat Autònoma de Barcelona,https://www.uab.cat/
Université Paris-Saclay,
"Universiteti “Ismail Qemali”, Vlore",
"University ""St. Kliment Ohridski"" - Bitola",
University College Dublin,
University Institute of Studies on Migration - Comillas P. University,
University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca,
University of Amsterdam,
University of Applied Sciences for Management & Communication,
University of Applied Sciences Upper Austria,
University of Bari,
University of Bern,
University of Bologna,
University of Bucharest,
University of Cagliari,
University of Catania ,
University of Coimbra,https://www.uc.pt/en
University of Crete,www.csd.uoc.gr
University of Deusto,
University of Limerick,
University of Management and Economics,
University of Medicine and Pharmacy Carol Davila,
"University of Medicine, Tirana",
University of Oslo,
University of Oxford,
University of Parma,
University of Porto,
University of Siena,
University of Stavanger,
University of Tartu,ut.ee/en
University of Tirana,
University of Toronto,
University of Turin,
University of Twente,
University of Warwick,
University Politehnica of Bucharest,
University Rovira i Virgili, https://www.urv.cat/en/
University Technology Incubator of STU InQb,
Uppsala University Sweden,
Varna University of Management,
"Vidzeme University of Applied Science in Valmiera, Latvia",
Vienna University of Technology,
Vilnius Gediminas Technical University,
Warsaw University of Life Sciences ,
"Westminster International University in Tashkent, innoWIUT Entrepreneurship Lab",
Wroclaw Uniwersity of Environmental and Life Sciences,
Young European Research Universities Network,
Zdravstveno uciliste Medical,
